run_id,ticker,interval,threshold,reservoir_size,spectral_radius,sparsity,input_scale,leaking_rate,ridge_alpha,washout,random_state,train_mse,train_mae,train_directional_accuracy,train_accuracy,train_buy_precision,train_buy_recall,train_sell_precision,train_sell_recall,val_mse,val_mae,val_directional_accuracy,val_accuracy,val_buy_precision,val_buy_recall,val_sell_precision,val_sell_recall,test_mse,test_mae,test_directional_accuracy,test_accuracy,test_buy_precision,test_buy_recall,test_sell_precision,test_sell_recall,prediction_path
run_0011,SPY,1d,0.2,100,0.85,0.1,0.5,0.3,10.0,30,42,0.23847354774092736,0.406346419126457,0.6910426871938419,0.37788663400979705,0.8296622613803231,0.39427773900907187,0.7823343848580442,0.3570914326853852,0.30764169994998747,0.4661583529716823,0.5922330097087378,0.38673139158576053,0.6147186147186147,0.4863013698630137,0.7583333333333333,0.2898089171974522,0.37324971019742004,0.5133915679633314,0.5983870967741935,0.317741935483871,0.7258064516129032,0.2857142857142857,0.5652173913043478,0.3466666666666667,results\esn_sweep\predictions\run_0011_predictions.csv
run_0012,SPY,1d,0.2,100,0.85,0.1,0.5,0.3,100.0,30,42,0.25670557813446004,0.4255375450073878,0.6731980405878236,0.33100069979006297,0.8222222222222222,0.3614794138171668,0.7486136783733827,0.2915766738660907,0.29709594412105067,0.4645393463911558,0.6051779935275081,0.39158576051779936,0.6512605042016807,0.5308219178082192,0.84375,0.25796178343949044,0.3465974960774624,0.5036126556146011,0.5887096774193549,0.2645161290322581,0.794392523364486,0.2698412698412698,0.49673202614379086,0.25333333333333335,results\esn_sweep\predictions\run_0012_predictions.csv
run_0013,SPY,1d,0.2,100,0.9,0.1,0.5,0.3,1.0,30,42,0.22088405784717627,0.38714596250534467,0.7078376487053883,0.4177746675997201,0.8471074380165289,0.4291695743196092,0.8069164265129684,0.4031677465802736,0.3231830355703493,0.47823698884991545,0.5970873786407767,0.39158576051779936,0.6311111111111111,0.4863013698630137,0.6911764705882353,0.29936305732484075,0.3998069507510018,0.5231381388996278,0.5725806451612904,0.2967741935483871,0.6578947368421053,0.23809523809523808,0.5578947368421052,0.35333333333333333,results\esn_sweep\predictions\run_0013_predictions.csv
run_0014,SPY,1d,0.2,100,0.9,0.1,0.5,0.3,10.0,30,42,0.23642022634185247,0.40433824590393147,0.6899930020993702,0.38383484954513647,0.8294460641399417,0.39706908583391487,0.7806748466257669,0.36645068394528435,0.30819501200190874,0.4663955516456971,0.587378640776699,0.39158576051779936,0.6140350877192983,0.4794520547945205,0.7384615384615385,0.3057324840764331,0.37615718243424545,0.5140878580826785,0.5935483870967742,0.31290322580645163,0.7235772357723578,0.28253968253968254,0.56353591160221,0.34,results\esn_sweep\predictions\run_0014_predictions.csv
run_0015,SPY,1d,0.2,100,0.9,0.1,0.5,0.3,100.0,30,42,0.2550943042620437,0.42402213815357964,0.675297410776767,0.33344996501049684,0.8212025316455697,0.3621772505233775,0.7513711151736746,0.2958963282937365,0.29749002509831957,0.4647324735529713,0.6019417475728155,0.3883495145631068,0.6483050847457628,0.523972602739726,0.8181818181818182,0.25796178343949044,0.3479744512524822,0.5038129444551516,0.5887096774193549,0.2709677419354839,0.7909090909090909,0.2761904761904762,0.4968152866242038,0.26,results\esn_sweep\predictions\run_0015_predictions.csv
run_0016,SPY,1d,0.2,100,0.95,0.1,0.5,0.3,1.0,30,42,0.21926455892577115,0.38562670809944966,0.7095871238628412,0.4205738278516445,0.8480662983425414,0.42847173761339846,0.8082386363636364,0.40964722822174227,0.32281018707771164,0.4785007979749753,0.6003236245954693,0.38673139158576053,0.6481481481481481,0.4794520547945205,0.6888888888888889,0.2961783439490446,0.40385643967475865,0.524609293370519,0.5516129032258065,0.3064516129032258,0.6578947368421053,0.23809523809523808,0.5743589743589743,0.37333333333333335,results\esn_sweep\predictions\run_0016_predictions.csv
run_0017,SPY,1d,0.2,100,0.95,0.1,0.5,0.3,10.0,30,42,0.234459859996026,0.40247334910931365,0.6927921623512946,0.38838348495451364,0.8196022727272727,0.4026517794836008,0.7818181818181819,0.3714902807775378,0.3076335815729091,0.46634187171897884,0.5954692556634305,0.38673139158576053,0.6133333333333333,0.4726027397260274,0.7251908396946565,0.30254777070063693,0.3787812724589292,0.5147132521862829,0.5919354838709677,0.3193548387096774,0.7142857142857143,0.2857142857142857,0.5706521739130435,0.35,results\esn_sweep\predictions\run_0017_predictions.csv
run_0018,SPY,1d,0.2,100,0.95,0.1,0.5,0.3,100.0,30,42,0.2534209855812889,0.4225147463600951,0.6794961511546536,0.3397480755773268,0.8167701863354038,0.36706210746685275,0.7567084078711985,0.3045356371490281,0.2974501853571565,0.4645691601345396,0.6003236245954693,0.38673139158576053,0.6371308016877637,0.5171232876712328,0.8118811881188119,0.2611464968152866,0.3496940619859641,0.5040672541575153,0.5870967741935483,0.2709677419354839,0.725,0.2761904761904762,0.4936708860759494,0.26,results\esn_sweep\predictions\run_0018_predictions.csv
run_0019,SPY,1d,0.2,200,0.85,0.1,0.5,0.3,1.0,30,42,0.1943579780267702,0.3608617955466274,0.7547235829251224,0.46046186144156753,0.8945205479452055,0.4556873691556176,0.8241335044929397,0.46220302375809935,0.3518633041686887,0.49836141149045965,0.5728155339805825,0.4255663430420712,0.5907335907335908,0.523972602739726,0.7536231884057971,0.33121019108280253,0.3592692203443284,0.5020683123157414,0.6338709677419355,0.38064516129032255,0.7435897435897436,0.2761904761904762,0.677570093457944,0.48333333333333334,results\esn_sweep\predictions\run_0019_predictions.csv
run_0020,SPY,1d,0.2,200,0.85,0.1,0.5,0.3,10.0,30,42,0.22624461580980568,0.39308639358465264,0.7249825052484254,0.4093771868439468,0.8609929078014185,0.4235868806699232,0.7623066104078763,0.3902087832973362,0.3155748060358986,0.47202306888434753,0.6132686084142395,0.42718446601941745,0.6085271317829457,0.5376712328767124,0.7786259541984732,0.3248407643312102,0.3432592542260204,0.497174609242066,0.6274193548387097,0.36129032258064514,0.768595041322314,0.29523809523809524,0.5638766519823789,0.4266666666666667,results\esn_sweep\predictions\run_0020_predictions.csv
run_0021,SPY,1d,0.2,200,0.85,0.1,0.5,0.3,100.0,30,42,0.24745691201268236,0.4158501270213973,0.6875437368789363,0.35199440167949614,0.8137108792846498,0.3810188415910677,0.7564766839378239,0.31533477321814257,0.3016557640916741,0.4643287261957481,0.6229773462783171,0.4174757281553398,0.6558704453441295,0.5547945205479452,0.8737864077669902,0.28662420382165604,0.32991195456435474,0.4926114618061294,0.5983870967741935,0.3580645161290323,0.859375,0.3492063492063492,0.5422885572139303,0.36333333333333334,results\esn_sweep\predictions\run_0021_predictions.csv
